OF_id,fornecedor,categoria,valor,prazo_entrega,dias_para_vencer,risk_score,prioridade,motivo_notificacao,assunto,mensagem,status_envio
14,Fornecedor_5,Equipamentos,34496.86,2023-10-22,-951,0.3143851097672517,Baixa,prazo próximo do vencimento,Acompanhamento da OF 14 - prioridade Baixa,"Prezado fornecedor Fornecedor_5,

A Ordem de Fornecimento 14 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-10-22 00:00:00 e o escore de risco calculado é 0.31.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
15,Fornecedor_8,Equipamentos,31083.03,2023-09-27,-976,0.1722289226721024,Baixa,prazo próximo do vencimento,Acompanhamento da OF 15 - prioridade Baixa,"Prezado fornecedor Fornecedor_8,

A Ordem de Fornecimento 15 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-09-27 00:00:00 e o escore de risco calculado é 0.17.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
16,Fornecedor_10,Insumos,48648.6,2024-01-01,-880,0.7245870511816231,Alta,risco preditivo elevado; prazo próximo do vencimento,Acompanhamento da OF 16 - prioridade Alta,"Prezado fornecedor Fornecedor_10,

A Ordem de Fornecimento 16 apresenta prioridade Alta no acompanhamento de entrega. O prazo registrado é 2024-01-01 00:00:00 e o escore de risco calculado é 0.72.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
17,Fornecedor_20,Equipamentos,33537.94,2023-09-26,-977,0.5242256220479188,Média,prazo próximo do vencimento,Acompanhamento da OF 17 - prioridade Média,"Prezado fornecedor Fornecedor_20,

A Ordem de Fornecimento 17 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-09-26 00:00:00 e o escore de risco calculado é 0.52.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
18,Fornecedor_5,Equipamentos,19489.54,2023-06-21,-1074,0.4275058203688254,Média,prazo próximo do vencimento,Acompanhamento da OF 18 - prioridade Média,"Prezado fornecedor Fornecedor_5,

A Ordem de Fornecimento 18 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-06-21 00:00:00 e o escore de risco calculado é 0.43.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
19,Fornecedor_11,Medicamentos,24402.36,2023-02-27,-1188,0.0742643831341262,Baixa,prazo próximo do vencimento,Acompanhamento da OF 19 - prioridade Baixa,"Prezado fornecedor Fornecedor_11,

A Ordem de Fornecimento 19 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-02-27 00:00:00 e o escore de risco calculado é 0.07.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
20,Fornecedor_20,Insumos,10122.28,2023-03-27,-1160,0.2754765349588194,Baixa,prazo próximo do vencimento,Acompanhamento da OF 20 - prioridade Baixa,"Prezado fornecedor Fornecedor_20,

A Ordem de Fornecimento 20 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-03-27 00:00:00 e o escore de risco calculado é 0.28.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
21,Fornecedor_12,Tecnologia,17527.0,2023-08-19,-1015,0.2326290503852094,Baixa,prazo próximo do vencimento,Acompanhamento da OF 21 - prioridade Baixa,"Prezado fornecedor Fornecedor_12,

A Ordem de Fornecimento 21 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-08-19 00:00:00 e o escore de risco calculado é 0.23.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
22,Fornecedor_19,Tecnologia,46523.89,2023-09-22,-981,0.708640369374318,Alta,risco preditivo elevado; prazo próximo do vencimento,Acompanhamento da OF 22 - prioridade Alta,"Prezado fornecedor Fornecedor_19,

A Ordem de Fornecimento 22 apresenta prioridade Alta no acompanhamento de entrega. O prazo registrado é 2023-09-22 00:00:00 e o escore de risco calculado é 0.71.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
23,Fornecedor_13,Equipamentos,31704.56,2024-01-01,-880,0.2200345739431705,Baixa,prazo próximo do vencimento,Acompanhamento da OF 23 - prioridade Baixa,"Prezado fornecedor Fornecedor_13,

A Ordem de Fornecimento 23 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2024-01-01 00:00:00 e o escore de risco calculado é 0.22.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
24,Fornecedor_17,Tecnologia,13350.54,2023-04-02,-1154,0.6476797676561582,Média,prazo próximo do vencimento,Acompanhamento da OF 24 - prioridade Média,"Prezado fornecedor Fornecedor_17,

A Ordem de Fornecimento 24 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-04-02 00:00:00 e o escore de risco calculado é 0.65.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
25,Fornecedor_13,Equipamentos,35235.89,2023-06-09,-1086,0.6017316843024777,Média,prazo próximo do vencimento,Acompanhamento da OF 25 - prioridade Média,"Prezado fornecedor Fornecedor_13,

A Ordem de Fornecimento 25 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-06-09 00:00:00 e o escore de risco calculado é 0.60.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
26,Fornecedor_3,Insumos,15708.09,2023-01-31,-1215,0.1315523097029237,Baixa,prazo próximo do vencimento,Acompanhamento da OF 26 - prioridade Baixa,"Prezado fornecedor Fornecedor_3,

A Ordem de Fornecimento 26 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-01-31 00:00:00 e o escore de risco calculado é 0.13.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
27,Fornecedor_1,Medicamentos,33306.52,2023-11-27,-915,0.3018214468764827,Baixa,prazo próximo do vencimento,Acompanhamento da OF 27 - prioridade Baixa,"Prezado fornecedor Fornecedor_1,

A Ordem de Fornecimento 27 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-11-27 00:00:00 e o escore de risco calculado é 0.30.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
28,Fornecedor_4,Medicamentos,17799.01,2023-11-30,-912,0.6348115316220682,Média,prazo próximo do vencimento,Acompanhamento da OF 28 - prioridade Média,"Prezado fornecedor Fornecedor_4,

A Ordem de Fornecimento 28 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-11-30 00:00:00 e o escore de risco calculado é 0.63.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
29,Fornecedor_15,Equipamentos,8699.97,2023-02-16,-1199,0.6519726146796291,Média,prazo próximo do vencimento,Acompanhamento da OF 29 - prioridade Média,"Prezado fornecedor Fornecedor_15,

A Ordem de Fornecimento 29 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-02-16 00:00:00 e o escore de risco calculado é 0.65.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
30,Fornecedor_1,Equipamentos,46758.13,2023-11-27,-915,0.3047787396356896,Baixa,prazo próximo do vencimento,Acompanhamento da OF 30 - prioridade Baixa,"Prezado fornecedor Fornecedor_1,

A Ordem de Fornecimento 30 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-11-27 00:00:00 e o escore de risco calculado é 0.30.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
31,Fornecedor_18,Tecnologia,14390.22,2023-01-11,-1235,0.6305556092437828,Média,prazo próximo do vencimento,Acompanhamento da OF 31 - prioridade Média,"Prezado fornecedor Fornecedor_18,

A Ordem de Fornecimento 31 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-01-11 00:00:00 e o escore de risco calculado é 0.63.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
32,Fornecedor_7,Equipamentos,31683.82,2023-12-01,-911,0.4122391371180122,Média,prazo próximo do vencimento,Acompanhamento da OF 32 - prioridade Média,"Prezado fornecedor Fornecedor_7,

A Ordem de Fornecimento 32 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-12-01 00:00:00 e o escore de risco calculado é 0.41.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
33,Fornecedor_19,Medicamentos,47092.11,2023-08-11,-1023,0.5402227650579496,Média,prazo próximo do vencimento,Acompanhamento da OF 33 - prioridade Média,"Prezado fornecedor Fornecedor_19,

A Ordem de Fornecimento 33 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-08-11 00:00:00 e o escore de risco calculado é 0.54.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
34,Fornecedor_11,Equipamentos,27559.57,2023-09-30,-973,0.1179044396252598,Baixa,prazo próximo do vencimento,Acompanhamento da OF 34 - prioridade Baixa,"Prezado fornecedor Fornecedor_11,

A Ordem de Fornecimento 34 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-09-30 00:00:00 e o escore de risco calculado é 0.12.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
35,Fornecedor_3,Equipamentos,13526.48,2023-08-15,-1019,0.3203117766221405,Baixa,prazo próximo do vencimento,Acompanhamento da OF 35 - prioridade Baixa,"Prezado fornecedor Fornecedor_3,

A Ordem de Fornecimento 35 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-08-15 00:00:00 e o escore de risco calculado é 0.32.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
36,Fornecedor_5,Equipamentos,32224.73,2023-05-29,-1097,0.6955296374974204,Alta,prazo próximo do vencimento,Acompanhamento da OF 36 - prioridade Alta,"Prezado fornecedor Fornecedor_5,

A Ordem de Fornecimento 36 apresenta prioridade Alta no acompanhamento de entrega. O prazo registrado é 2023-05-29 00:00:00 e o escore de risco calculado é 0.70.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
37,Fornecedor_18,Equipamentos,39358.44,2023-05-01,-1125,0.4318943580336405,Média,prazo próximo do vencimento,Acompanhamento da OF 37 - prioridade Média,"Prezado fornecedor Fornecedor_18,

A Ordem de Fornecimento 37 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-05-01 00:00:00 e o escore de risco calculado é 0.43.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
38,Fornecedor_17,Medicamentos,31060.26,2023-05-14,-1112,0.1764527280858672,Baixa,prazo próximo do vencimento,Acompanhamento da OF 38 - prioridade Baixa,"Prezado fornecedor Fornecedor_17,

A Ordem de Fornecimento 38 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-05-14 00:00:00 e o escore de risco calculado é 0.18.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
39,Fornecedor_17,Medicamentos,40350.7,2023-02-13,-1202,0.655752686734309,Média,prazo próximo do vencimento,Acompanhamento da OF 39 - prioridade Média,"Prezado fornecedor Fornecedor_17,

A Ordem de Fornecimento 39 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-02-13 00:00:00 e o escore de risco calculado é 0.66.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
40,Fornecedor_20,Equipamentos,2570.78,2023-03-19,-1168,0.2904933430086719,Baixa,prazo próximo do vencimento,Acompanhamento da OF 40 - prioridade Baixa,"Prezado fornecedor Fornecedor_20,

A Ordem de Fornecimento 40 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-03-19 00:00:00 e o escore de risco calculado é 0.29.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
41,Fornecedor_3,Insumos,31717.74,2023-02-28,-1187,0.1661821287508478,Baixa,prazo próximo do vencimento,Acompanhamento da OF 41 - prioridade Baixa,"Prezado fornecedor Fornecedor_3,

A Ordem de Fornecimento 41 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-02-28 00:00:00 e o escore de risco calculado é 0.17.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
42,Fornecedor_6,Medicamentos,19754.11,2023-11-21,-921,0.2656999499546816,Baixa,prazo próximo do vencimento,Acompanhamento da OF 42 - prioridade Baixa,"Prezado fornecedor Fornecedor_6,

A Ordem de Fornecimento 42 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-11-21 00:00:00 e o escore de risco calculado é 0.27.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
43,Fornecedor_10,Tecnologia,13974.19,2023-01-10,-1236,0.521685719146324,Média,prazo próximo do vencimento,Acompanhamento da OF 43 - prioridade Média,"Prezado fornecedor Fornecedor_10,

A Ordem de Fornecimento 43 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-01-10 00:00:00 e o escore de risco calculado é 0.52.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
44,Fornecedor_14,Medicamentos,14010.12,2023-10-22,-951,0.6065494106366404,Média,prazo próximo do vencimento,Acompanhamento da OF 44 - prioridade Média,"Prezado fornecedor Fornecedor_14,

A Ordem de Fornecimento 44 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-10-22 00:00:00 e o escore de risco calculado é 0.61.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
45,Fornecedor_13,Tecnologia,26921.55,2023-02-21,-1194,0.6670827902478748,Média,prazo próximo do vencimento,Acompanhamento da OF 45 - prioridade Média,"Prezado fornecedor Fornecedor_13,

A Ordem de Fornecimento 45 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-02-21 00:00:00 e o escore de risco calculado é 0.67.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
46,Fornecedor_8,Insumos,25397.33,2023-04-06,-1150,0.7682008226497902,Alta,risco preditivo elevado; prazo próximo do vencimento,Acompanhamento da OF 46 - prioridade Alta,"Prezado fornecedor Fornecedor_8,

A Ordem de Fornecimento 46 apresenta prioridade Alta no acompanhamento de entrega. O prazo registrado é 2023-04-06 00:00:00 e o escore de risco calculado é 0.77.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
47,Fornecedor_5,Insumos,31722.24,2023-02-04,-1211,0.4264735279544804,Média,prazo próximo do vencimento,Acompanhamento da OF 47 - prioridade Média,"Prezado fornecedor Fornecedor_5,

A Ordem de Fornecimento 47 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-02-04 00:00:00 e o escore de risco calculado é 0.43.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
48,Fornecedor_8,Insumos,11513.08,2023-11-29,-913,0.1597033510074633,Baixa,prazo próximo do vencimento,Acompanhamento da OF 48 - prioridade Baixa,"Prezado fornecedor Fornecedor_8,

A Ordem de Fornecimento 48 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-11-29 00:00:00 e o escore de risco calculado é 0.16.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
49,Fornecedor_10,Tecnologia,27698.28,2023-12-21,-891,0.7471357195617256,Alta,risco preditivo elevado; prazo próximo do vencimento,Acompanhamento da OF 49 - prioridade Alta,"Prezado fornecedor Fornecedor_10,

A Ordem de Fornecimento 49 apresenta prioridade Alta no acompanhamento de entrega. O prazo registrado é 2023-12-21 00:00:00 e o escore de risco calculado é 0.75.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
50,Fornecedor_19,Insumos,32252.78,2023-05-14,-1112,0.2553721122491389,Baixa,prazo próximo do vencimento,Acompanhamento da OF 50 - prioridade Baixa,"Prezado fornecedor Fornecedor_19,

A Ordem de Fornecimento 50 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-05-14 00:00:00 e o escore de risco calculado é 0.26.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
51,Fornecedor_14,Equipamentos,36706.76,2023-11-03,-939,0.2335375685012236,Baixa,prazo próximo do vencimento,Acompanhamento da OF 51 - prioridade Baixa,"Prezado fornecedor Fornecedor_14,

A Ordem de Fornecimento 51 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-11-03 00:00:00 e o escore de risco calculado é 0.23.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
52,Fornecedor_18,Equipamentos,36708.48,2023-02-05,-1210,0.7375350110891177,Alta,risco preditivo elevado; prazo próximo do vencimento,Acompanhamento da OF 52 - prioridade Alta,"Prezado fornecedor Fornecedor_18,

A Ordem de Fornecimento 52 apresenta prioridade Alta no acompanhamento de entrega. O prazo registrado é 2023-02-05 00:00:00 e o escore de risco calculado é 0.74.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
53,Fornecedor_14,Insumos,25212.41,2023-03-22,-1165,0.1873853103135347,Baixa,prazo próximo do vencimento,Acompanhamento da OF 53 - prioridade Baixa,"Prezado fornecedor Fornecedor_14,

A Ordem de Fornecimento 53 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-03-22 00:00:00 e o escore de risco calculado é 0.19.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
54,Fornecedor_6,Equipamentos,21030.21,2023-07-25,-1040,0.5700337014233581,Média,prazo próximo do vencimento,Acompanhamento da OF 54 - prioridade Média,"Prezado fornecedor Fornecedor_6,

A Ordem de Fornecimento 54 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-07-25 00:00:00 e o escore de risco calculado é 0.57.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
55,Fornecedor_15,Medicamentos,5349.73,2023-02-12,-1203,0.2185954475247318,Baixa,prazo próximo do vencimento,Acompanhamento da OF 55 - prioridade Baixa,"Prezado fornecedor Fornecedor_15,

A Ordem de Fornecimento 55 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-02-12 00:00:00 e o escore de risco calculado é 0.22.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
